Year,Month,Water Intake (Purchased),Water Use (Sweat) - Use,Water Loss,Wastewater Disposal (Outside),Total Energy,Energy Pruchased (Electricity),Energy (Diesel),Total Waste ,Total Hazardous Waste (Landfil),Hazardous Waste (Stream # 1),Hazardous Waste (Maintenace Oil) - (With Density 0.93),Total Non-Hazardous ( Landfill + Recycling),Non-Hazardous Waste (Scrap Recycling)),Non-Hazardous Waste (Disposal),Total GHG (CO2),Total Consumption R22 Gas,Cost of Water (Sweat) Purchase /  Treatment / Water Waste  Disposal,Cost of Pruchased Electricity,Cost of Diesel,Cost of R22 Gas,Cost of Hazardouse Waste Disposal,Cost of Non-Hazardouse Waste Disposal,Total Production Volume (Pallets Issue),Total Production Volume (Pallets Receive),Total Area (Floor Covered Area),Intensity - Water,Intensity - Energy,Intensity - Energy (Electricity),Intensity - Energy (Diesel),Intensity - GHG (CO2) - Scope 1 and 2,Intensity - Waste Material ,Total Cost
2020,January,78.00,78.00,66.30,11.70,664.67,161836.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,119.81,280.00,556.00,52285.20,1000.00,4480.00,0.00,575.00,6470.00,5939.00,8990.00,0.01,0.10,25.01,0.31,0.02,0.00,58896.20
2020,February,62.00,62.00,52.70,9.30,624.02,150545.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,111.87,280.00,448.00,48528.00,1000.00,4480.00,0.00,575.00,3652.00,2864.00,8990.00,0.02,0.17,41.22,0.55,0.03,0.00,55031.00
2020,March,80.00,80.00,68.00,12.00,637.57,154309.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,114.52,280.00,576.00,50012.00,1000.00,4480.00,0.00,575.00,2633.00,1913.00,8990.00,0.03,0.24,58.61,0.76,0.04,0.00,56643.00
2020,April,183.00,183.00,155.55,27.45,664.67,161836.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,119.81,280.00,1316.00,23071.00,1000.00,4480.00,0.00,575.00,1959.00,2892.00,8990.00,0.09,0.34,82.61,1.02,0.06,0.01,30442.00
2020,May,410.00,410.00,348.50,61.50,962.75,244636.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,178.02,280.00,2949.00,79725.00,1000.00,4480.00,0.00,575.00,1422.00,2034.00,8990.00,0.29,0.68,172.04,1.41,0.13,0.01,88729.00
2020,June,781.00,781.00,663.85,117.15,1030.49,263454.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,191.25,280.00,5618.00,85372.00,1000.00,4480.00,0.00,575.00,2035.00,1754.00,8990.00,0.38,0.51,129.46,0.98,0.09,0.01,97045.00
2020,July,926.00,926.00,787.10,138.90,1152.44,297327.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,215.06,280.00,7294.00,104841.00,1000.00,4480.00,0.00,575.00,798.00,1515.00,8990.00,1.16,1.44,372.59,2.51,0.27,0.02,118190.00
2020,August,824.00,824.00,700.40,123.60,1057.59,270981.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,196.54,280.00,6494.00,96539.00,1000.00,4480.00,0.00,575.00,2024.00,2002.00,8990.00,0.41,0.52,133.88,0.99,0.10,0.01,109088.00
2020,September,437.00,437.00,371.45,65.55,854.36,214527.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,156.85,280.00,3443.00,76254.00,1000.00,4480.00,0.00,575.00,1502.00,1139.00,8990.00,0.29,0.57,142.83,1.33,0.10,0.01,85752.00
2020,October,134.00,134.00,113.90,20.10,718.87,176891.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,130.39,280.00,1052.00,62803.00,1000.00,4480.00,0.00,575.00,1168.00,1189.00,8990.00,0.11,0.62,151.45,1.71,0.11,0.01,69910.00
2020,November,76.00,76.00,64.60,11.40,664.67,161836.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,119.81,280.00,600.00,57812.00,1000.00,4480.00,0.00,575.00,974.00,2432.00,8990.00,0.08,0.68,166.16,2.05,0.12,0.01,64467.00
2020,December,55.00,55.00,46.75,8.25,664.67,161836.00,2000.00,291.00,279.00,0.00,279.00,12.00,0.00,12.00,119.81,280.00,430.00,57379.00,1000.00,4480.00,0.00,575.00,944.00,1962.00,8990.00,0.06,0.70,171.44,2.12,0.13,0.31,63864.00
2021,January,64.00,64.00,54.40,9.60,651.12,158072.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,117.16,280.00,506.00,55854.00,1000.00,4480.00,0.00,575.00,933.00,1979.00,8990.00,0.07,0.70,169.42,2.14,0.13,0.01,62415.00
2021,February,87.00,87.00,73.95,13.05,752.74,186299.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,137.01,280.00,711.00,66004.00,1000.00,4480.00,0.00,575.00,848.00,2891.00,8990.00,0.10,0.89,219.69,2.36,0.16,0.01,72770.00
2021,March,297.00,297.00,252.45,44.55,752.74,186299.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,137.01,280.00,2440.00,66004.00,1000.00,4480.00,0.00,575.00,1069.00,2769.00,8990.00,0.28,0.70,174.27,1.87,0.13,0.01,74499.00
2021,April,316.00,316.00,268.60,47.40,949.20,240872.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,175.37,280.00,2598.00,85909.00,1000.00,4480.00,0.00,575.00,2320.00,2254.00,8990.00,0.14,0.41,103.82,0.86,0.08,0.01,94562.00
2021,May,632.00,632.00,537.20,94.80,1098.24,282272.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,204.48,280.00,5187.00,100554.00,1000.00,4480.00,0.00,575.00,2290.00,2217.00,8990.00,0.28,0.48,123.26,0.87,0.09,0.01,111796.00
2021,June,884.00,884.00,751.40,132.60,1098.24,282272.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,204.48,280.00,7259.00,100337.00,1000.00,4480.00,0.00,575.00,2179.00,1987.00,8990.00,0.41,0.50,129.54,0.92,0.09,0.01,113651.00
2021,July,915.00,915.00,777.75,137.25,1084.69,278509.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,201.83,280.00,7510.00,99360.00,1000.00,4480.00,0.00,575.00,1528.00,2766.00,8990.00,0.60,0.71,182.27,1.31,0.13,0.01,112925.00
2021,August,989.00,989.00,840.65,148.35,1111.79,286036.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,207.12,280.00,8121.00,101747.00,1000.00,4480.00,0.00,575.00,2265.00,2425.00,8990.00,0.44,0.49,126.29,0.88,0.09,0.01,115923.00
2021,September,555.00,555.00,471.75,83.25,1057.59,270981.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,196.54,280.00,4555.00,96323.00,1000.00,4480.00,0.00,575.00,2553.00,2243.00,8990.00,0.22,0.41,106.14,0.78,0.08,0.00,106933.00
2021,October,284.00,284.00,241.40,42.60,935.65,237109.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,172.73,280.00,2330.00,84499.00,1000.00,4480.00,0.00,575.00,1645.00,2486.00,8990.00,0.17,0.57,144.14,1.22,0.11,0.01,92884.00
2021,November,139.00,139.00,118.15,20.85,827.26,207000.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,151.56,280.00,1142.00,93651.00,1000.00,4480.00,0.00,575.00,2244.00,3217.00,8990.00,0.06,0.37,92.25,0.89,0.07,0.01,100848.00
2021,December,91.00,91.00,77.35,13.65,786.61,195709.00,2000.00,291.00,279.00,0.00,279.00,12.00,0.00,12.00,143.62,280.00,746.00,69807.00,1000.00,4480.00,0.00,575.00,2691.00,2537.00,8990.00,0.03,0.29,72.73,0.74,0.05,0.11,76608.00
2022,January,86.00,86.00,73.10,12.90,759.52,188182.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,138.33,280.00,709.00,66702.00,1036.00,4480.00,0.00,575.00,2179.00,2771.00,8990.00,0.04,0.35,86.36,0.92,0.06,0.01,73502.00
2022,February,80.00,80.00,68.00,12.00,759.52,188182.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,138.33,280.00,653.00,66771.00,1036.00,4480.00,0.00,575.00,2602.00,2387.00,8990.00,0.03,0.29,72.32,0.77,0.05,0.00,73515.00
2022,March,130.00,130.00,110.50,19.50,813.71,203236.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,148.91,280.00,1069.00,72457.00,1036.00,4480.00,0.00,575.00,4164.00,1845.00,8990.00,0.03,0.20,48.81,0.48,0.04,0.00,79617.00
2022,April,303.00,303.00,257.55,45.45,949.20,240872.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,175.37,280.00,2488.00,85692.00,1036.00,4480.00,0.00,575.00,2878.00,2765.00,8990.00,0.11,0.33,83.69,0.69,0.06,0.00,94271.00
2022,May,528.00,528.00,448.80,79.20,1044.04,267218.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,193.89,280.00,4337.00,95346.00,1036.00,4480.00,0.00,575.00,2192.00,2698.00,8990.00,0.24,0.48,121.91,0.91,0.09,0.01,105774.00
2022,June,730.00,730.00,620.50,109.50,1044.04,267218.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,193.89,280.00,5998.00,95346.00,1036.00,4480.00,0.00,575.00,2057.00,2283.00,8990.00,0.35,0.51,129.91,0.97,0.09,0.01,107435.00
2022,July,755.00,755.00,641.75,113.25,1016.94,259690.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,188.60,280.00,6191.00,92525.00,1036.00,4480.00,0.00,575.00,1518.00,2062.00,8990.00,0.50,0.67,171.07,1.32,0.12,0.01,104807.00
2022,August,883.00,883.00,750.55,132.45,1206.63,312381.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,225.64,280.00,7253.00,114196.00,1036.00,4480.00,0.00,575.00,1880.00,2216.00,8990.00,0.47,0.64,166.16,1.06,0.12,0.01,127540.00
2022,September,521.00,521.00,442.85,78.15,1247.28,323672.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,233.58,280.00,4280.00,118311.00,1036.00,4480.00,0.00,299.00,2250.00,2744.00,8990.00,0.23,0.55,143.85,0.89,0.10,0.01,128406.00
2022,October,246.00,246.00,209.10,36.90,1260.83,327436.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,236.23,280.00,2025.00,119155.00,1036.00,4480.00,0.00,299.00,3720.00,4268.00,8990.00,0.07,0.34,88.02,0.54,0.06,0.00,126995.00
2022,November,118.00,118.00,100.30,17.70,1098.24,282272.00,2000.00,12.00,0.00,0.00,0.00,12.00,0.00,12.00,204.48,280.00,970.00,102863.00,1036.00,4480.00,0.00,299.00,3475.00,3939.00,8990.00,0.03,0.32,81.23,0.58,0.06,0.00,109648.00
2022,December,118.00,118.00,100.30,17.70,1071.14,274745.00,2000.00,291.00,279.00,0.00,279.00,12.00,0.00,12.00,199.19,280.00,971.00,99759.00,1036.00,4480.00,0.00,299.00,3723.00,3949.00,8990.00,0.03,0.29,73.80,0.54,0.05,0.08,106545.00
